City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Vaini,TO,77.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
3,Hithadhoo,MV,81.36,scattered clouds,-0.6,73.0833,Scoop Guest House
4,Georgetown,MY,77.9,scattered clouds,5.4112,100.3354,Cititel Penang
5,Jamestown,US,76.59,light rain,42.097,-79.2353,Hampton Inn & Suites Jamestown
14,Kapaa,US,84.18,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
16,Hilo,US,84.25,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
21,Atuona,PF,76.26,light rain,-9.8,-139.0333,Villa Enata
22,Ribeira Grande,PT,75.6,few clouds,38.5167,-28.7,Quinta da Meia Eira
29,Miri,MY,75.34,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
32,Port Blair,IN,80.46,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
41,Olinda,BR,80.33,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
53,Los Alamos,US,79.93,broken clouds,35.8881,-106.307,"Holiday Inn Express & Suites Los Alamos Entrada Park, an IHG Hotel"
54,Kavieng,PG,81.52,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
55,Faanui,PF,78.48,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
56,Butaritari,KI,79.61,light rain,3.0707,172.7902,Isles Sunset Lodge
58,Pacific Grove,US,75.38,clear sky,36.6177,-121.9166,Lovers Point Inn
63,Pochutla,MX,79.83,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
69,Meadow Lake,US,87.67,clear sky,34.8014,-106.5436,TumbleWeed RV Park
71,Puerto Ayora,EC,76.96,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
78,Ensenada,MX,76.95,clear sky,31.8667,-116.6167,Best Western El Cid
79,Kumphawapi,TH,79.83,broken clouds,17.1087,103.0149,ลีลาวดี รีสอร์ท
84,Ponta Do Sol,PT,75.0,broken clouds,32.6667,-17.1,Hotel do Campo
85,Sinnamary,GF,81.19,clear sky,5.3833,-52.95,ALETHEIA Appartement Sinnamary
86,Porto Novo,BJ,76.14,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
