City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Souillac,MU,-20.5167,57.5167,71.98,83,75,10.36,broken clouds
1,Vaini,TO,-21.2,-175.2,77.16,88,75,12.66,broken clouds
2,Gold Coast,AU,-28.0,153.4333,66.27,96,100,16.11,light intensity shower rain
3,Hithadhoo,MV,-0.6,73.0833,81.36,74,34,6.26,scattered clouds
4,Georgetown,MY,5.4112,100.3354,77.9,93,40,5.75,scattered clouds
5,Jamestown,US,42.097,-79.2353,76.59,83,75,11.5,light rain
6,Havre-Saint-Pierre,CA,50.2334,-63.5986,52.16,93,100,12.66,mist
7,Punta Arenas,CL,-53.15,-70.9167,57.31,38,0,14.97,clear sky
8,Nemuro,JP,43.3236,145.575,55.99,75,0,3.31,clear sky
9,Grand Gaube,MU,-20.0064,57.6608,72.0,74,4,8.99,clear sky
10,Albany,US,42.6001,-73.9662,75.72,72,53,1.99,broken clouds
11,Thinadhoo,MV,0.5333,72.9333,82.06,72,37,7.61,scattered clouds
12,Nehe,CN,48.4833,124.8333,50.41,49,100,3.0,overcast clouds
13,Envira,BR,-7.3,-70.2167,90.54,44,94,1.66,overcast clouds
14,Kapaa,US,22.0752,-159.319,84.18,73,81,8.01,broken clouds
15,Bara,NG,10.3744,10.7288,76.44,80,100,2.84,overcast clouds
16,Hilo,US,19.7297,-155.09,84.25,75,15,4.0,few clouds
17,Rikitea,PF,-23.1203,-134.9692,72.9,75,4,14.63,light rain
18,Ushuaia,AR,-54.8,-68.3,47.86,57,40,11.5,scattered clouds
19,Saint-Philippe,RE,-21.3585,55.7679,67.59,79,40,11.3,scattered clouds
20,Glazov,RU,58.1394,52.6584,50.02,82,92,6.33,overcast clouds
21,Atuona,PF,-9.8,-139.0333,76.26,81,74,21.23,light rain
22,Ribeira Grande,PT,38.5167,-28.7,75.6,83,20,5.75,few clouds
23,New Norfolk,AU,-42.7826,147.0587,51.71,77,20,2.37,few clouds
24,Dikson,RU,73.5069,80.5464,29.53,78,100,30.82,overcast clouds
25,Crib Point,AU,-38.35,145.2,52.65,75,74,1.19,broken clouds
26,Birao,CF,10.2849,22.7882,75.15,84,5,1.5,clear sky
27,Walvis Bay,NA,-22.9575,14.5053,58.08,73,0,6.76,clear sky
28,Leshukonskoye,RU,64.8989,45.7622,35.91,93,38,3.98,scattered clouds
29,Miri,MY,4.4148,114.0089,75.34,94,40,0.0,scattered clouds
30,Grindavik,IS,63.8424,-22.4338,50.47,100,75,3.44,broken clouds
31,Port Macquarie,AU,-31.4333,152.9167,62.49,88,100,13.8,light rain
32,Port Blair,IN,11.6667,92.75,80.46,84,100,10.13,overcast clouds
33,Mataura,NZ,-46.1927,168.8643,48.47,86,24,1.41,few clouds
34,Barrow,US,71.2906,-156.7887,37.42,93,100,8.05,mist
35,San Patricio,US,28.017,-97.5169,93.18,43,0,12.35,clear sky
36,Banikoara,BJ,11.2985,2.4386,74.39,90,60,2.17,broken clouds
37,Chuy,UY,-33.6971,-53.4616,53.15,74,100,7.27,overcast clouds
38,Flin Flon,CA,54.7682,-101.865,47.23,61,100,7.65,overcast clouds
39,Murdochville,CA,48.9583,-65.5006,48.38,97,100,1.43,overcast clouds
40,Hobart,AU,-42.8794,147.3294,52.05,91,0,3.0,clear sky
41,Olinda,BR,-8.0089,-34.8553,80.33,69,40,8.05,scattered clouds
42,Provideniya,RU,64.3833,-173.3,42.91,100,100,18.01,light rain
43,Hasaki,JP,35.7333,140.8333,63.28,63,100,18.54,overcast clouds
44,Busselton,AU,-33.65,115.3333,45.81,71,29,7.61,scattered clouds
45,Dingle,PH,10.9995,122.6711,74.53,90,100,1.57,overcast clouds
46,Zabol,AF,32.25,67.25,65.97,20,0,6.69,clear sky
47,Ilulissat,GL,69.2167,-51.1,28.92,79,50,7.78,scattered clouds
48,Hermanus,ZA,-34.4187,19.2345,48.79,76,23,3.44,few clouds
49,Tasiilaq,GL,65.6145,-37.6368,37.56,92,63,4.54,broken clouds
50,Saskylakh,RU,71.9167,114.0833,15.12,96,48,4.74,scattered clouds
51,Chokurdakh,RU,70.6333,147.9167,31.71,94,100,10.4,overcast clouds
52,Visnes,NO,59.3556,5.2242,56.21,88,20,11.5,few clouds
53,Los Alamos,US,35.8881,-106.307,79.93,45,75,12.66,broken clouds
54,Kavieng,PG,-2.5744,150.7967,81.52,71,99,2.35,overcast clouds
55,Faanui,PF,-16.4833,-151.75,78.48,73,7,20.51,light rain
56,Butaritari,KI,3.0707,172.7902,79.61,76,90,4.54,light rain
57,Elko,US,41.0002,-115.5012,70.65,27,86,11.99,overcast clouds
58,Pacific Grove,US,36.6177,-121.9166,75.38,72,0,12.66,clear sky
59,San Rafael,AR,-34.6177,-68.3301,61.81,11,1,5.21,clear sky
60,Ponta Pora,BR,-22.5361,-55.7256,66.11,100,100,9.22,fog
61,Tuktoyaktuk,CA,69.4541,-133.0374,41.0,93,100,18.41,overcast clouds
62,Kodiak,US,57.79,-152.4072,52.2,57,2,5.08,clear sky
63,Pochutla,MX,15.7432,-96.4661,79.83,79,100,6.26,overcast clouds
64,Norman Wells,CA,65.282,-126.8329,51.84,76,75,4.61,broken clouds
65,Peleduy,RU,59.6289,112.7406,33.75,100,100,2.37,light snow
66,Horconcitos,PA,8.4682,-81.8007,70.81,93,97,3.58,overcast clouds
67,Fos-Sur-Mer,FR,43.4377,4.9446,69.85,52,0,5.75,clear sky
68,Tezu,IN,27.9167,96.1667,73.85,98,100,2.86,overcast clouds
69,Meadow Lake,US,34.8014,-106.5436,87.67,35,2,10.11,clear sky
70,Cape Town,ZA,-33.9258,18.4232,60.12,73,0,8.05,clear sky
71,Puerto Ayora,EC,-0.7393,-90.3518,76.96,89,73,13.0,broken clouds
72,Severo-Kurilsk,RU,50.6789,156.125,49.06,76,10,13.71,clear sky
73,Shimoda,JP,34.6667,138.95,64.11,72,100,22.44,overcast clouds
74,Lodja,CD,-3.4833,23.4333,69.19,97,98,1.19,overcast clouds
75,Deputatskiy,RU,69.3,139.9,24.71,91,100,7.94,overcast clouds
76,Pisco,PE,-13.7,-76.2167,67.01,68,0,19.57,clear sky
77,East London,ZA,-33.0153,27.9116,60.89,79,21,14.45,few clouds
78,Ensenada,MX,31.8667,-116.6167,76.95,75,0,12.82,clear sky
79,Kumphawapi,TH,17.1087,103.0149,79.83,99,69,3.44,broken clouds
80,College,US,64.8569,-147.8028,48.2,80,99,1.54,overcast clouds
81,Talnakh,RU,69.4865,88.3972,36.21,96,100,16.31,light rain
